Date,Value
0,14.40.34,5.0
1,14.40.34,5.0
2,14.40.34,5.0
3,14.40.34,5.0
4,14.40.34,5.0
5,14.40.34,5.0
6,14.40.34,5.0
7,14.40.34,5.0
8,14.40.34,5.0
9,14.40.34,5.0
10,14.40.34,5.0
11,14.40.34,5.0
12,14.40.34,5.0
13,14.40.34,5.0
14,14.40.34,5.0
15,14.40.34,5.0
16,14.40.34,5.0
17,14.40.34,5.0
18,14.40.34,5.0
19,14.40.34,5.0
20,14.40.34,5.0
21,14.40.34,5.0
22,14.40.35,5.0
23,14.40.35,5.0
24,14.40.35,5.0
25,14.40.35,5.0
26,14.40.35,5.0
27,14.40.35,5.0
28,14.40.35,5.0
29,14.40.35,5.0
30,14.40.35,5.0
31,14.40.35,5.0
32,14.40.35,5.0
33,14.40.35,5.0
34,14.40.35,5.0
35,14.40.35,5.0
36,14.40.35,5.0
37,14.40.35,5.0
38,14.40.35,5.0
39,14.40.35,5.0
40,14.40.35,5.0
41,14.40.35,5.0
42,14.40.35,5.0
43,14.40.35,5.0
44,14.40.35,5.0
45,14.40.35,5.0
46,14.40.35,5.0
47,14.40.35,5.0
48,14.40.35,5.0
49,14.40.35,5.0
50,14.40.35,5.0
51,14.40.35,5.0
52,14.40.35,5.0
53,14.40.35,5.0
54,14.40.35,5.0
55,14.40.35,5.0
56,14.40.35,5.0
57,14.40.35,5.0
58,14.40.35,5.0
59,14.40.35,5.0
60,14.40.35,5.0
61,14.40.35,5.0
62,14.40.35,5.0
63,14.40.35,5.0
64,14.40.35,5.0
65,14.40.35,5.0
66,14.40.35,5.0
67,14.40.36,5.0
68,14.40.36,5.0
69,14.40.36,5.0
70,14.40.36,5.0
71,14.40.36,4.98
72,14.40.36,4.93
73,14.40.36,4.78
74,14.40.36,4.73
75,14.40.36,4.66
76,14.40.36,4.64
77,14.40.36,4.57
78,14.40.36,4.56
79,14.40.36,4.52
80,14.40.36,4.51
81,14.40.36,4.37
82,14.40.36,4.32
83,14.40.36,4.25
84,14.40.36,4.2
85,14.40.36,4.12
86,14.40.36,4.11
87,14.40.37,4.07
88,14.40.37,4.06
89,14.40.37,4.05
90,14.40.37,4.04
91,14.40.37,4.09
92,14.40.37,4.17
93,14.40.37,4.24
94,14.40.37,4.32
95,14.40.37,4.37
96,14.40.37,4.44
97,14.40.37,4.5
98,14.40.37,4.55
99,14.40.37,4.57
100,14.40.37,4.63
101,14.40.37,4.67
102,14.40.37,4.74
103,14.40.37,4.75
104,14.40.37,4.75
105,14.40.37,4.83
106,14.40.37,4.8
107,14.40.38,4.86
108,14.40.38,4.86
109,14.40.38,4.84
110,14.40.38,4.86
111,14.40.38,4.85
112,14.40.38,4.83
113,14.40.38,4.82
114,14.40.38,4.75
115,14.40.38,4.67
116,14.40.38,4.65
117,14.40.38,4.63
118,14.40.38,4.64
119,14.40.38,4.63
120,14.40.38,4.64
121,14.40.38,4.63
122,14.40.38,4.63
123,14.40.38,4.63
124,14.40.38,4.62
125,14.40.38,4.62
126,14.40.38,4.6
127,14.40.39,4.58
128,14.40.39,4.51
129,14.40.39,4.49
130,14.40.39,4.47
131,14.40.39,4.46
132,14.40.39,4.48
133,14.40.39,4.47
134,14.40.39,4.47
135,14.40.39,4.47
136,14.40.39,4.47
137,14.40.39,4.51
138,14.40.39,4.47
