,Time,Value
0,14.56.3,5.0
1,14.56.3,5.0
2,14.56.3,5.0
3,14.56.3,5.0
4,14.56.3,5.0
5,14.56.3,5.0
6,14.56.3,5.0
7,14.56.3,5.0
8,14.56.3,5.0
9,14.56.3,5.0
10,14.56.4,5.0
11,14.56.4,5.0
12,14.56.4,5.0
13,14.56.4,5.0
14,14.56.4,5.0
15,14.56.4,5.0
16,14.56.4,5.0
17,14.56.4,5.0
18,14.56.4,5.0
19,14.56.4,5.0
20,14.56.4,5.0
21,14.56.4,5.0
22,14.56.4,5.0
23,14.56.4,5.0
24,14.56.4,5.0
25,14.56.4,5.0
26,14.56.4,5.0
27,14.56.4,5.0
28,14.56.4,5.0
29,14.56.4,5.0
30,14.56.4,5.0
31,14.56.4,5.0
32,14.56.4,5.0
33,14.56.4,5.0
34,14.56.4,5.0
35,14.56.4,5.0
36,14.56.4,5.0
37,14.56.4,5.0
38,14.56.4,5.0
39,14.56.4,5.0
40,14.56.4,5.0
41,14.56.4,5.0
42,14.56.4,5.0
43,14.56.4,5.0
44,14.56.4,5.0
45,14.56.4,5.0
46,14.56.4,5.0
47,14.56.4,5.0
48,14.56.4,5.0
49,14.56.4,4.7
50,14.56.4,4.14
51,14.56.4,3.79
52,14.56.4,3.38
53,14.56.4,2.97
54,14.56.4,2.53
55,14.56.4,2.19
56,14.56.4,1.9
57,14.56.4,1.64
58,14.56.4,1.35
59,14.56.4,1.08
60,14.56.4,0.85
61,14.56.4,0.77
62,14.56.4,0.83
63,14.56.5,1.12
64,14.56.5,1.74
65,14.56.5,2.32
66,14.56.5,2.92
67,14.56.5,3.44
68,14.56.5,3.83
69,14.56.5,4.22
70,14.56.5,4.31
71,14.56.5,4.16
72,14.56.5,3.84
73,14.56.5,3.52
74,14.56.5,3.54
75,14.56.5,3.8
76,14.56.5,4.2
77,14.56.5,4.74
78,14.56.5,5.0
79,14.56.5,5.0
80,14.56.5,5.0
81,14.56.5,5.0
82,14.56.5,5.0
83,14.56.6,5.0
84,14.56.6,5.0
85,14.56.6,5.0
86,14.56.6,5.0
87,14.56.6,5.0
88,14.56.6,5.0
89,14.56.6,5.0
90,14.56.6,5.0
91,14.56.6,5.0
92,14.56.6,5.0
93,14.56.6,4.96
94,14.56.6,4.33
95,14.56.6,3.73
96,14.56.6,3.22
97,14.56.6,2.48
98,14.56.6,1.78
99,14.56.6,1.2
